"","PC1","PC2","PC3","PC4"
"765_1972",0.0165316865900786,-0.0311261187084593,-0.0890859716502849,-0.142805569302356
"765_1973",-0.0129254544018944,-0.0956661651625415,-0.0800640407328835,-0.0363887098236429
"765_1974",0.0453801680416994,0.0442981605224083,0.0146036948915018,-0.0485859037057348
"765_1975",-0.0203359977680392,-0.0285678930463182,-0.11936404829694,-0.162426847579079
"765_1976",0.050789170344833,0.103062204662467,0.0248826204621885,-0.0101124155342
"765_1977",0.0453154022450188,0.0640519838719397,-0.0305772468496069,-0.0185851192870152
"765_1978",0.0335367268495432,-0.0104060237264634,-0.0277674024009918,-0.107062102912352
"765_1979",0.0152624155390185,-0.0531468081832091,-0.0542805318262158,-0.091086700983955
"766_1970",0.054337075940279,0.0291055737302153,0.0536400291721639,-0.125199781121679
"766_1971",0.0433706874235359,0.0173765519263309,0.0243219567738119,-0.208240446392882
"766_1972",0.043327027071163,0.000301397951189573,-0.00423627297070459,-0.155351718742501
"766_1973",0.0474125790157906,0.0142628913227903,0.0021972237929219,-0.0555756244705555
"766_1974",0.034844599183271,-0.0372385294559786,-0.0265577145880119,-0.145320042211308
"766_1975",0.0358417766482193,-0.0256596499237729,-0.021670581158954,-0.165896059731575
"766_1976",0.0248390543160664,-0.0513718497426553,-0.0435582788761326,-0.121944948338311
"766_1977",-0.05574716477666,-0.0602673839860693,-0.166306053698429,-0.0319150568557968
"766_1978",-0.0234211926052878,-0.0700762013511766,-0.162427718750004,-0.0576649454027263
"766_1979",0.00973775479939216,-0.0261256164461674,-0.131287174668744,-0.0607684076935078
"769_1970",0.0519337515923128,0.0339811920374111,0.000475816791563436,-0.041088076343756
"769_1971",0.0453047661198216,0.0116063476798297,-0.0223424005435391,-0.104077240636919
"769_1972",0.0376004659902833,0.0572081148115639,-0.0767418150349021,-0.0154764169699532
"769_1973",0.0441270306415489,0.0149317128661215,-0.0130825678315014,0.00787126979382407
"769_1974",0.0380754976217715,0.0129133079029295,-0.0526355791644936,0.00803775690625695
"769_1975",0.0462871109161033,0.047756631254226,-0.0346714825755518,-0.0801381008342035
"769_1976",0.0379798218988821,0.0855360461335055,-0.0796190062157486,-0.00332247720239331
"769_1977",0.0291093699957716,0.0772298946778922,-0.113676298546434,-0.0209993772286675
"769_1978",0.0490266966843255,0.04245007941813,-0.0170420032814193,-0.107049724434393
"769_1979",0.0389264442391683,0.0593802748738298,-0.0822589066948721,0.0210015175773189
"774_1970",0.0463138202913607,0.00737903564515351,0.00350922235593529,0.00563457067411037
"774_1971",0.0323986906761687,-0.0206771870606104,-0.0588007856364467,-0.00954537471136936
"774_1972",0.0283718714387306,-0.0112783695211,-0.0775435219972288,0.0803374231073801
