"","PC1","PC2","PC3","PC4"
"7_1954",0.0230383850421421,0.0375699083926704,-0.047501870916597,-0.0141847624276499
"7_1955",0.013807617298365,0.047492903586905,-0.0509970288388034,-0.00550584590515207
"7_1956",0.00551085182185305,0.0217993164668505,-0.0435536015008787,0.0226609125904727
"7_1957",0.00518814288815818,0.0211213151730813,-0.0335681141539845,0.0219819103111812
"7_1958",0.0237523873086008,0.048193587043654,-0.046285268957741,0.0110467603352459
"7_1959",0.0142272082170978,0.0462161099731874,-0.057194325384315,0.00632981843641872
"7_1960",0.00690131497134024,0.0292495008586426,-0.0548082771884497,0.0172670931629669
"7_1961",0.0216637831561245,0.0259865309407421,-0.056452898524483,0.0154309754190712
"7_1962",0.00596732367652343,0.0181529425788062,-0.0408663552062475,0.0295397676852662
"7_1963",0.00956874143839614,0.010643183414096,-0.0460515652071219,0.0284643973850029
"7_1964",0.0226951070944398,0.0158948904964548,-0.0558277595448766,0.0301299282293533
"7_1965",0.0179612208529025,0.0189159574978466,-0.0656033228787044,0.0284140537362853
"7_1966",0.00597919413771847,0.00564122916423761,-0.0540355724660031,0.0390342879179637
"7_1967",0.00646072193241204,0.00539385049749226,-0.0566784428548652,0.039383903150549
"7_1968",0.0181424063847862,0.0102825340297748,-0.0736253921661911,0.0358742808927098
"7_1969",0.0217524849755343,0.00409735011780603,-0.0718356936891626,0.031032464594188
"7_1970",0.00636698108729765,-0.00588969354487926,-0.0593440263938905,0.0347937425675509
"7_1971",0.0182648515722118,0.00369936272973158,-0.0749597372482496,0.029278396410033
"7_1972",0.0211883455557447,0.00150824080583971,-0.0752675226117565,0.0317045564755793
"7_1973",0.0209895515321827,-0.0017471215315402,-0.0725565214782407,0.0317162083861728
"7_1974",0.021621345972346,-0.00479571547495307,-0.0720844893122943,0.0295989303685536
"7_1975",0.0126711346134178,-0.00337514994160613,-0.0687171674817071,0.0351453814098643
"7_1976",0.0158816765104661,-0.00347750571098068,-0.0705735989519308,0.0361745968678131
"7_1977",0.010153454492938,0.00202409251075265,-0.0696265867930229,0.0375072668395819
"7_1978",0.0214413310219509,-0.00539884429169432,-0.0734223423582103,0.0370218375186507
"7_1979",0.021843932078086,-0.00569978872744854,-0.0758428191107363,0.0330960733569589
"7_1980",0.0217248790256406,-0.00523931640978176,-0.0764760214876056,0.0338805350638207
"7_1981",0.0246176189123021,-0.00623163455395324,-0.0769400124216233,0.0317301467833467
"7_1982",0.0344122697415782,-0.0145728374537923,-0.0760309411252744,0.021075668597848
"7_1983",0.036825393651962,-0.0137523075257919,-0.078378487568544,0.0179637373695265
"7_1984",0.0339757250338342,-0.0149116800694127,-0.0833281656310421,0.0141052672448239
"7_1985",0.0431402659020096,-0.0426103762431531,-0.0504736741386409,-0.00143985300406215
"7_1986",0.0240679616870988,0.00211181078799864,-0.0921699343905677,0.0260318823200762
"7_1987",0.0148192130438645,0.00324956894918232,-0.0923994058806306,0.0219520106558837
"7_1988",0.00895256669251914,0.00473034966302158,-0.0874842310544596,0.020019368115577
"7_1989",0.0237988133933695,-0.00221991532833378,-0.0968483400943597,0.0151322937562955
"7_1990",0.0457090236843433,-0.060038769856186,-0.0227476911501571,-0.0216620732956367
"7_1991",0.0200170505463212,-0.000193089179771278,-0.095730317407946,0.0189395147582071
"7_1992",0.0191848763868949,0.00106940463550346,-0.0994803191962807,0.0186861705410397
"7_1993",0.0139673613667102,0.00796525871554667,-0.101132448532438,0.0101655107638904
"7_1994",0.026895033855648,-0.000699355406049239,-0.102250628841837,-0.0172940350596633
"7_1995",0.0462366679756834,-0.0670013029455644,-0.00985549880812899,-0.0320754027505162
"7_1996",0.0459117730162172,-0.0515095388672675,-0.0466692286391128,-0.0341530950143034
"7_1997",0.0312903808264286,-0.00960170909451621,-0.100090355281461,-0.0151097290396978
"7_1998",0.0328442794954885,-0.0114957264681776,-0.0999712096306444,-0.0173185641498727
"7_1999",0.0244788348632892,-0.00782627195233723,-0.102416886515955,-0.0028712260855171
"7_2000",0.0436563576059395,-0.0420318738791204,-0.0697632265376967,-0.0220395202229328
"8_1940",-0.000219400932930332,0.0390132037355446,-0.0334562933124671,-0.051485637363372
"8_1941",0.00104592290949169,0.0587372898175425,-0.0131760186598288,-0.0582279071411081
"8_1942",-0.000258814915970095,0.0655586272242625,0.00544742492495304,-0.000855665197583376
"8_1943",-0.00229925501886743,0.0410187749348733,-0.0284593288439136,0.00784768411449249
"8_1944",-0.0186760618816772,0.00902177568286183,-0.0102860819336228,-0.0215128370957807
"8_1945",0.00172398021534473,0.0384463563181319,-0.0409807573481987,-0.0372658533737964
"8_1946",-0.00903282231361564,0.0193300519654559,-0.0375975604228095,-0.074340578086058
"8_1947",-0.002562489148442,0.0282438129761797,-0.0428813855517618,-0.036883543572529
"8_1948",-0.00982927094253225,0.0238881401560454,-0.0494260540451361,-0.0529358649407021
"8_1949",-0.00754421676545302,0.0281946551307231,-0.0518645396726952,-0.0628026815438554
"8_1950",-4.27169276121676e-05,0.0469956165661327,-0.0467217297327795,0.0136805639947509
"8_1951",-0.000415767967787512,0.0530993453176159,-0.0347692024172735,0.0425208948208736
"8_1952",-0.015377531791114,0.0365559082210003,-0.00604312458824864,0.0168507031035108
"8_1953",-0.0138690724529744,0.0367093179105392,-0.0137342592390106,0.0144245890120265
"8_1954",0.0116236037216287,0.0679765918996628,-0.0481042849768645,0.00828111427591635
"8_1955",0.0134716534458398,0.0736484412116272,-0.0298631578298327,0.0402514322781245
"8_1956",-0.00688356683930061,0.0388395755729204,-0.0405568109067144,0.0279274784059799
"8_1957",-0.00666674328776497,0.0412995137768208,-0.0443959161795377,-0.00979159914990862
"8_1958",0.0136270639892188,0.061782889400764,-0.0445583905891557,0.0545259468407607
"8_1959",0.0304568021193662,0.0596234345327236,-0.0436243182525083,0.0683301531699111
"8_1960",0.0303007249535132,0.0506640218511609,-0.0689179319590609,0.0271753170814392
"8_1961",0.00653887429790124,0.039359009567339,-0.0750071265377277,0.041998455578716
"8_1962",-0.00629422122507571,0.031742548014947,-0.055532613781706,0.0219374107337506
